city,lo,la
红河,102.42,23.35
丽江,100.25,26.86
文山,104.24,23.37
思茅,101.00,22.79
普洱,101.03,23.07
吴忠,106.21,37.99
固原,106.28,36.01
中卫,105.18,37.51
伊春,128.92,47.73
黑河,127.53,50.22
鹤岗,130.3,47.33
七台河,130.83,45.82
佳木斯,130.35,46.83
绥化,127,46.63
双鸭山,131.17,46.65
四平,124.37,43.17
辽源,125.15,42.97
通化,125.92,41.49
白城,122.82,45.63
安康,109.02,32.7
汉中,108.04,33.07
榆林,109.77,38.3
玉树藏族自治州,96.97,33.03
庆阳,107.88,36.03
定西,104.57,35.57
武威,102.61,37.94
酒泉,98.5,39.71
张掖,100.46,38.93
平凉,106.68,35.51
天水,105.69,34.6
临夏,103.22,35.62
甘南,123.48,47.9
南阳,112.53,33.01
新乡,113.85,35.31
许昌,113.81,34.02
驻马店,114.02,32.98
信阳,114.08,32.13
鹤壁,114.17,35.9
周口,114.63,33.63
商丘,115.65,34.44
漯河,114.02,33.56
濮阳,114.98,35.71
济源,112.57,35.08
铜陵,117.82,30.93
宣城,118.73,31.95
巢湖,117.87,31.62
淮南,116.98,32.62
宿州,116.97,33.63
六安,116.49,31.73
滁州,118.31,32.33
淮北,116.77,33.97
阜阳,115.81,32.89
安庆,117.03,30.52
蚌埠,117.34,32.93
运城,110.97,35.03
晋城,112.83,35.52
万宁,110.39,18.8
琼海,110.46,19.25
东方,108.64,19.09
文昌,110.72,19.61
石河子,85.94,44.27
吐鲁番,89.19,42.91
昌吉,89.19,42.91
哈密,93.44,42.78
阿克苏,80.29,41.15
阿勒泰,88.14,47.86
和田,79.94,37.12
塔城,82.96,46.74
日喀则,88.82,29.28
那曲,92.1,31.47
林芝,94.25,29.59
香港,114.1,22.2
澳门,113.33,22.13
黔南,107.528403,26.260616
黔东南,107.989446,26.589703
黔西南,104.912492,25.093967
巴彦淖尔,107.394398,107.394398
阿拉善盟,105.735377,38.858276
锡林郭勒盟,116.054391,43.939423
呼伦贝尔,119.77237,49.218446
乌兰察布,113.139468,41.000748
兴安盟,122.044365,46.088463
襄阳,112.128537,32.014797
随州,113.38945,31.696517
恩施,109.494593,30.27794
鄂州,114.901607,30.396572
潜江,112.905474,30.408358
神农架,110.682525,31.750496
湘西,109.745577,28.317369
贺州,111.573526,24.409451
贵港,109.60552,23.117448
防城港,108.360419,21.693005
广元,105.850423,32.441616
乐山,103.772538,29.557941
达州,107.474594,31.214308
眉山,103.856563,30.082526
凉山,103.851789,29.843846
临沧,100.103374,23.890197
保山,99.177273,25.139039
西双版纳,100.803447,22.013601
德宏,98.595534,24.440925
怒江,98.863288,25.823707
迪庆,99.70953,27.825185
海西蒙古族藏族自治州,97.376299,37.38275
海东,102.110444,36.508511
海南藏族自治州,110.355537,20.025802
海北藏族自治州,100.907434,36.960663
黄南藏族自治州,102.022428,35.525805
大兴安岭,123.644559,52.510947
果洛藏族自治州,100.251592,34.477194
松原,124.831482,45.147405
鸡西,130.975619,45.300872
白山,126.42963,41.939627
商洛,109.924418,33.878634
延边,129.499109,42.916871
白银,104.144451,36.550825
陇南,104.928575,33.40662
黄山,118.171317,30.13925
池州,117.498421,30.670884
亳州,115.784463,33.850643
忻州,112.740624,38.422383
晋中,112.759595,37.692839
朔州,112.439371,39.337108
吕梁,111.15045,37.524498
山南,91.778675,29.243027
昌都,97.179584,31.147347
阿里,80.112777,32.506866
克孜勒苏柯尔克孜,76.174309,39.720471
伊犁哈萨克,81.330538,43.922723
五家渠,87.549937,44.172445
阿拉尔,81.287354,40.553264
图木舒克,79.075616,39.871209
巴音郭楞,86.151714,41.770287
喀什,75.996391,39.476097
博尔塔拉,82.072915,44.912196
儋州,109.587456,19.527146
陵水黎族自治县,110.044464,18.512332
澄迈县,110.013511,19.744349
乐东黎族自治县,109.180508,18.755871
临高县,109.697443,19.919475
定安县,110.365533,19.68712
昌江黎族自治县,109.062464,19.303998
屯昌县,110.108577,19.357375
保亭黎族苗族自治县,109.703482,18.64691
白沙黎族自治县,109.457471,19.231379
琼中黎族苗族自治县,109.844511,19.039164
天门,113.169534,30.667385
仙桃,113.464466,30.369518
五指山,109.612205,18.890522
台北,121.57,25.04
大理州,100.19,25.69
